2026-05-01T17:10:40.090772799Z [inf]  Starting Container
2026-05-01T17:10:41.054038525Z [inf]  Starting api
2026-05-01T17:10:41.054049763Z [inf]  Starting ingest-realtime
2026-05-01T17:10:48.421841163Z [err]  2026-05-01 17:10:47.441 | DEBUG    | openf1.util.db:get_documents:118 - get_documents: collection='position' filters='{'session_key': [{'$eq': 11270}]}' returned 33 documents
2026-05-01T17:10:48.421848624Z [err]  2026-05-01 17:10:47.475 | DEBUG    | openf1.util.db:get_documents:68 - Mongo query predicate for collection 'weather': {'$and': [{'$or': [{'$or': [{'session_key': {'$eq': 11270}}]}]}, {'$or': [{'$or': [{'$and': [{'date': {'$gte': datetime.datetime(2026, 5, 1, 15, 58, tzinfo=tzutc())}}, {'date': {'$lte': datetime.datetime(2026, 5, 1, 16, 2, tzinfo=tzutc())}}]}]}]}]}
2026-05-01T17:10:48.421858698Z [err]  2026-05-01 17:10:47.487 | DEBUG    | openf1.util.db:get_documents:118 - get_documents: collection='weather' filters='{'session_key': [{'$eq': 11270}], 'date': [{'$gte': datetime.datetime(2026, 5, 1, 15, 58, tzinfo=tzutc())}, {'$lte': datetime.datetime(2026, 5, 1, 16, 2, tzinfo=tzutc())}]}' returned 0 documents
2026-05-01T17:10:48.425330239Z [inf]  INFO:     100.64.0.7:30330 - "GET /v1/weather?session_key=11270&date%3E=2026-05-01T15%3A58%3A00.000Z&date%3C=2026-05-01T16%3A02%3A00.000Z HTTP/1.1" 200 OK
2026-05-01T17:10:48.425336794Z [err]  2026-05-01 17:10:47.516 | DEBUG    | openf1.util.db:get_documents:68 - Mongo query predicate for collection 'intervals': {'$and': [{'$or': [{'$or': [{'session_key': {'$eq': 11270}}]}]}, {'$or': [{'$or': [{'$and': [{'date': {'$gte': datetime.datetime(2026, 5, 1, 16, 2, 29, 253000, tzinfo=tzutc())}}, {'date': {'$lte': datetime.datetime(2026, 5, 1, 16, 2, 39, 253000, tzinfo=tzutc())}}]}]}]}]}
2026-05-01T17:10:48.425344757Z [err]  2026-05-01 17:10:47.567 | DEBUG    | openf1.util.db:get_documents:118 - get_documents: collection='intervals' filters='{'session_key': [{'$eq': 11270}], 'date': [{'$gte': datetime.datetime(2026, 5, 1, 16, 2, 29, 253000, tzinfo=tzutc())}, {'$lte': datetime.datetime(2026, 5, 1, 16, 2, 39, 253000, tzinfo=tzutc())}]}' returned 0 documents
2026-05-01T17:10:48.425353273Z [inf]  INFO:     100.64.0.7:30330 - "GET /v1/intervals?session_key=11270&date%3E=2026-05-01T16%3A02%3A29.253Z&date%3C=2026-05-01T16%3A02%3A39.253Z HTTP/1.1" 200 OK
2026-05-01T17:10:48.425361296Z [err]  2026-05-01 17:10:47.641 | DEBUG    | openf1.util.db:get_documents:68 - Mongo query predicate for collection 'location': {'$and': [{'$or': [{'$or': [{'session_key': {'$eq': 11270}}]}]}, {'$or': [{'$or': [{'$and': [{'date': {'$gte': datetime.datetime(2026, 5, 1, 16, 2, 29, 253000, tzinfo=tzutc())}}, {'date': {'$lte': datetime.datetime(2026, 5, 1, 16, 2, 39, 253000, tzinfo=tzutc())}}]}]}]}]}
2026-05-01T17:10:48.425367982Z [err]  2026-05-01 17:10:47.645 | DEBUG    | openf1.util.db:get_documents:118 - get_documents: collection='location' filters='{'session_key': [{'$eq': 11270}], 'date': [{'$gte': datetime.datetime(2026, 5, 1, 16, 2, 29, 253000, tzinfo=tzutc())}, {'$lte': datetime.datetime(2026, 5, 1, 16, 2, 39, 253000, tzinfo=tzutc())}]}' returned 0 documents
2026-05-01T17:10:48.425374245Z [inf]  INFO:     100.64.0.8:41060 - "GET /v1/location?session_key=11270&date%3E=2026-05-01T16%3A02%3A29.253Z&date%3C=2026-05-01T16%3A02%3A39.253Z HTTP/1.1" 200 OK
2026-05-01T17:10:48.428833659Z [err]  2026-05-01 17:10:47.669 | DEBUG    | openf1.util.db:get_documents:68 - Mongo query predicate for collection 'position': {'$and': [{'$or': [{'$or': [{'session_key': {'$eq': 11270}}]}]}, {'$or': [{'$or': [{'$and': [{'date': {'$gte': datetime.datetime(2026, 5, 1, 16, 2, 29, 253000, tzinfo=tzutc())}}, {'date': {'$lte': datetime.datetime(2026, 5, 1, 16, 2, 39, 253000, tzinfo=tzutc())}}]}]}]}]}
2026-05-01T17:10:48.428839704Z [err]  2026-05-01 17:10:47.680 | DEBUG    | openf1.util.db:get_documents:118 - get_documents: collection='position' filters='{'session_key': [{'$eq': 11270}], 'date': [{'$gte': datetime.datetime(2026, 5, 1, 16, 2, 29, 253000, tzinfo=tzutc())}, {'$lte': datetime.datetime(2026, 5, 1, 16, 2, 39, 253000, tzinfo=tzutc())}]}' returned 0 documents
2026-05-01T17:10:48.428846010Z [inf]  INFO:     100.64.0.3:61594 - "GET /v1/position?session_key=11270&date%3E=2026-05-01T16%3A02%3A29.253Z&date%3C=2026-05-01T16%3A02%3A39.253Z HTTP/1.1" 200 OK
2026-05-01T17:10:48.428851472Z [err]  2026-05-01 17:10:47.710 | DEBUG    | openf1.util.db:get_documents:68 - Mongo query predicate for collection 'overtakes': {'$and': [{'$or': [{'$or': [{'session_key': {'$eq': 11270}}]}]}, {'$or': [{'$or': [{'$and': [{'date': {'$gte': datetime.datetime(2026, 5, 1, 16, 2, 29, 253000, tzinfo=tzutc())}}, {'date': {'$lte': datetime.datetime(2026, 5, 1, 16, 2, 39, 253000, tzinfo=tzutc())}}]}]}]}]}
2026-05-01T17:10:48.428857856Z [err]  2026-05-01 17:10:47.716 | DEBUG    | openf1.util.db:get_documents:118 - get_documents: collection='overtakes' filters='{'session_key': [{'$eq': 11270}], 'date': [{'$gte': datetime.datetime(2026, 5, 1, 16, 2, 29, 253000, tzinfo=tzutc())}, {'$lte': datetime.datetime(2026, 5, 1, 16, 2, 39, 253000, tzinfo=tzutc())}]}' returned 0 documents
2026-05-01T17:10:48.428862600Z [inf]  INFO:     100.64.0.9:15360 - "GET /v1/overtakes?session_key=11270&date%3E=2026-05-01T16%3A02%3A29.253Z&date%3C=2026-05-01T16%3A02%3A39.253Z HTTP/1.1" 200 OK
2026-05-01T17:10:48.428868781Z [err]  2026-05-01 17:10:47.744 | DEBUG    | openf1.util.db:get_documents:68 - Mongo query predicate for collection 'pit': {'$and': [{'$or': [{'$or': [{'session_key': {'$eq': 11270}}]}]}, {'$or': [{'$or': [{'$and': [{'date': {'$gte': datetime.datetime(2026, 5, 1, 16, 2, 29, 253000, tzinfo=tzutc())}}, {'date': {'$lte': datetime.datetime(2026, 5, 1, 16, 2, 39, 253000, tzinfo=tzutc())}}]}]}]}]}
2026-05-01T17:10:48.432121350Z [err]  2026-05-01 17:10:47.752 | DEBUG    | openf1.util.db:get_documents:118 - get_documents: collection='pit' filters='{'session_key': [{'$eq': 11270}], 'date': [{'$gte': datetime.datetime(2026, 5, 1, 16, 2, 29, 253000, tzinfo=tzutc())}, {'$lte': datetime.datetime(2026, 5, 1, 16, 2, 39, 253000, tzinfo=tzutc())}]}' returned 0 documents
2026-05-01T17:10:48.432133111Z [inf]  INFO:     100.64.0.10:62842 - "GET /v1/pit?session_key=11270&date%3E=2026-05-01T16%3A02%3A29.253Z&date%3C=2026-05-01T16%3A02%3A39.253Z HTTP/1.1" 200 OK
2026-05-01T17:10:48.432139520Z [err]  2026-05-01 17:10:47.774 | DEBUG    | openf1.util.db:get_documents:68 - Mongo query predicate for collection 'race_control': {'$and': [{'$or': [{'$or': [{'session_key': {'$eq': 11270}}]}]}, {'$or': [{'$or': [{'$and': [{'date': {'$gte': datetime.datetime(2026, 5, 1, 16, 2, 29, 253000, tzinfo=tzutc())}}, {'date': {'$lte': datetime.datetime(2026, 5, 1, 16, 2, 39, 253000, tzinfo=tzutc())}}]}]}]}]}
2026-05-01T17:10:48.432145875Z [err]  2026-05-01 17:10:47.781 | DEBUG    | openf1.util.db:get_documents:118 - get_documents: collection='race_control' filters='{'session_key': [{'$eq': 11270}], 'date': [{'$gte': datetime.datetime(2026, 5, 1, 16, 2, 29, 253000, tzinfo=tzutc())}, {'$lte': datetime.datetime(2026, 5, 1, 16, 2, 39, 253000, tzinfo=tzutc())}]}' returned 0 documents
2026-05-01T17:10:48.432151819Z [inf]  INFO:     100.64.0.8:41060 - "GET /v1/race_control?session_key=11270&date%3E=2026-05-01T16%3A02%3A29.253Z&date%3C=2026-05-01T16%3A02%3A39.253Z HTTP/1.1" 200 OK
2026-05-01T17:10:48.432158000Z [err]  2026-05-01 17:10:47.807 | DEBUG    | openf1.util.db:get_documents:68 - Mongo query predicate for collection 'stints': {'$and': [{'$or': [{'$or': [{'session_key': {'$eq': 11270}}]}]}, {'$or': [{'$or': [{'$and': [{'date': {'$gte': datetime.datetime(2026, 5, 1, 16, 2, 29, 253000, tzinfo=tzutc())}}, {'date': {'$lte': datetime.datetime(2026, 5, 1, 16, 2, 39, 253000, tzinfo=tzutc())}}]}]}]}]}
2026-05-01T17:10:48.432163961Z [err]  2026-05-01 17:10:47.814 | DEBUG    | openf1.util.db:get_documents:118 - get_documents: collection='stints' filters='{'session_key': [{'$eq': 11270}], 'date': [{'$gte': datetime.datetime(2026, 5, 1, 16, 2, 29, 253000, tzinfo=tzutc())}, {'$lte': datetime.datetime(2026, 5, 1, 16, 2, 39, 253000, tzinfo=tzutc())}]}' returned 0 documents
2026-05-01T17:10:48.433001839Z [inf]  INFO:     100.64.0.11:38314 - "GET /v1/stints?session_key=11270&date%3E=2026-05-01T16%3A02%3A29.253Z&date%3C=2026-05-01T16%3A02%3A39.253Z HTTP/1.1" 200 OK
2026-05-01T17:10:48.433010234Z [err]  2026-05-01 17:10:47.839 | DEBUG    | openf1.util.db:get_documents:68 - Mongo query predicate for collection 'session_result': {'$and': [{'$or': [{'$or': [{'session_key': {'$eq': 11270}}]}]}, {'$or': [{'$or': [{'$and': [{'date': {'$gte': datetime.datetime(2026, 5, 1, 16, 2, 29, 253000, tzinfo=tzutc())}}, {'date': {'$lte': datetime.datetime(2026, 5, 1, 16, 2, 39, 253000, tzinfo=tzutc())}}]}]}]}]}
2026-05-01T17:10:48.433016281Z [err]  2026-05-01 17:10:47.844 | DEBUG    | openf1.util.db:get_documents:118 - get_documents: collection='session_result' filters='{'session_key': [{'$eq': 11270}], 'date': [{'$gte': datetime.datetime(2026, 5, 1, 16, 2, 29, 253000, tzinfo=tzutc())}, {'$lte': datetime.datetime(2026, 5, 1, 16, 2, 39, 253000, tzinfo=tzutc())}]}' returned 0 documents
2026-05-01T17:10:48.433060552Z [inf]  INFO:     100.64.0.11:38314 - "GET /v1/session_result?session_key=11270&date%3E=2026-05-01T16%3A02%3A29.253Z&date%3C=2026-05-01T16%3A02%3A39.253Z HTTP/1.1" 200 OK
2026-05-01T17:10:59.015298000Z [err]  2026-05-01 17:10:58.080 | DEBUG    | openf1.util.db:get_documents:68 - Mongo query predicate for collection 'stints': {'$and': [{'$or': [{'$or': [{'session_key': {'$eq': 11270}}]}]}]}
2026-05-01T17:10:59.015314671Z [err]  2026-05-01 17:10:58.090 | DEBUG    | openf1.util.db:get_documents:118 - get_documents: collection='stints' filters='{'session_key': [{'$eq': 11270}]}' returned 64 documents
2026-05-01T17:10:59.015592174Z [err]  2026-05-01 17:10:57.913 | DEBUG    | openf1.util.db:get_documents:68 - Mongo query predicate for collection 'overtakes': {'$and': [{'$or': [{'$or': [{'session_key': {'$eq': 11270}}]}]}]}
2026-05-01T17:10:59.015604350Z [inf]  INFO:     100.64.0.7:48848 - "GET /v1/overtakes?session_key=11270 HTTP/1.1" 200 OK
2026-05-01T17:10:59.015609804Z [err]  2026-05-01 17:10:57.947 | DEBUG    | openf1.util.db:get_documents:68 - Mongo query predicate for collection 'pit': {'$and': [{'$or': [{'$or': [{'session_key': {'$eq': 11270}}]}]}]}
2026-05-01T17:10:59.015616013Z [err]  2026-05-01 17:10:57.954 | DEBUG    | openf1.util.db:get_documents:118 - get_documents: collection='pit' filters='{'session_key': [{'$eq': 11270}]}' returned 31 documents
2026-05-01T17:10:59.015629049Z [err]  2026-05-01 17:10:58.043 | DEBUG    | openf1.util.db:get_documents:68 - Mongo query predicate for collection 'race_control': {'$and': [{'$or': [{'$or': [{'session_key': {'$eq': 11270}}]}]}]}
2026-05-01T17:10:59.015640342Z [inf]  INFO:     100.64.0.12:16656 - "GET /v1/race_control?session_key=11270 HTTP/1.1" 200 OK
